model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,96,0.46250722,0.46243724,0
DLinear,ETTh1,336,0.5503702163696289,0.5265021920204163,0
FreTS,ETTh1,336,0.5414146184921265,0.5214962959289551,0
DLinear,ETTh1,720,0.6864758729934692,0.6105063557624817,0
FreTS,ETTh1,192,0.4930689036846161,0.4832695424556732,0
FreTS,ETTh1,720,0.6898452639579773,0.6136796474456787,0
FreTS,ETTh1,96,0.4402254223823547,0.4461102485656738,0
iTransformer,ETTh1,192,0.5008171796798706,0.4946948289871216,0
iTransformer,ETTh1,96,0.4374690949916839,0.4500003755092621,0
iTransformer,ETTh1,720,0.6706530451774597,0.6095983386039734,0
iTransformer,ETTh1,336,0.5491675138473511,0.5340890288352966,0
MICN,ETTh1,96,0.4976592361927032,0.483557641506195,0
MICN,ETTh1,192,0.5548924207687378,0.5188060402870178,0
MICN,ETTh1,336,0.6180828809738159,0.5605171322822571,0
MICN,ETTh1,720,0.7767793536186218,0.6610400080680847,0
OLS,ETTh1,192,0.4927557110786438,0.477050632238388,0
OLS,ETTh1,96,0.4426368176937103,0.4419589340686798,0
OLS,ETTh1,336,0.5352238416671753,0.5120189189910889,0
OLS,ETTh1,720,0.674885630607605,0.6021062731742859,0
PatchTST,ETTh1,96,0.4285895228385925,0.4501513242721557,0
PatchTST,ETTh1,336,0.5421505570411682,0.5276452302932739,0
PatchTST,ETTh1,192,0.4821199178695678,0.4858599603176117,0
PatchTST,ETTh1,720,0.6630443334579468,0.6075994372367859,0
